generation,N_shifts,eventRate
4265001,3,0.731972
4270001,0,1.71618
4275001,1,0.675945
4280001,1,1.52751
4285001,1,0.233893
4290001,0,0.364807
4295001,1,0.639502
4300001,0,0.482706
4305001,2,0.782218
4310001,0,0.146308
4315001,1,2.76452
4320001,1,1.55627
4325001,3,1.51114
4330001,0,1.07111
4335001,1,0.62908
4340001,0,0.354689
4345001,0,0.244216
4350001,1,1.64075
4355001,0,0.724173
4360001,0,0.699689
4365001,3,1.43958
4370001,1,2.84511
4375001,0,0.430547
4380001,1,0.805104
4385001,2,0.42742
4390001,0,0.358989
4395001,1,0.732695
4400001,2,1.73385
4405001,1,3.10598
4410001,0,0.922424
4415001,4,0.59204
4420001,0,0.122898
4425001,1,0.928812
4430001,2,2.20149
4435001,4,2.21129
4440001,0,0.461555
4445001,0,0.199906
4450001,0,0.311667
4455001,1,0.856652
4460001,0,1.31746
4465001,1,3.94454
4470001,0,0.463576
4475001,0,0.978948
4480001,1,0.732966
4485001,0,0.687757
4490001,2,2.61334
4495001,1,1.0845
4500001,1,0.108777
4505001,1,2.20801
4510001,0,0.00550652
4515001,0,2.30942
4520001,1,0.516361
4525001,5,0.90159
4530001,0,0.80578
4535001,2,0.149005
4540001,0,0.0583832
4545001,0,0.0526016
4550001,1,0.142294
4555001,0,0.289445
4560001,1,0.656276
4565001,0,0.422608
4570001,0,1.19284
4575001,1,0.714223
4580001,0,0.664087
4585001,0,0.279802
4590001,3,2.44292
4595001,0,0.367006
4600001,2,0.501176
4605001,0,0.000317216
4610001,3,1.03469
4615001,0,0.675371
4620001,1,2.41381
4625001,0,0.367998
4630001,3,1.30224
4635001,1,3.58634
4640001,0,0.119416
4645001,0,0.374838
4650001,0,0.183582
4655001,0,0.483008
4660001,0,0.0406621
4665001,2,0.948085
4670001,0,0.0750797
4675001,0,0.0451274
4680001,1,0.0880812
4685001,0,0.056114
4690001,0,0.687643
4695001,2,2.09997
4700001,2,0.135995
4705001,0,0.143241
4710001,0,0.134414
4715001,2,1.19344
4720001,0,2.52801
4725001,0,0.172527
4730001,3,2.21219
4735001,2,4.1618
4740001,2,1.1794
4745001,1,1.63338
4750001,0,0.972135
4755001,0,0.426368
4760001,0,1.35337
4765001,4,2.98525
4770001,0,0.0909935
4775001,3,2.24585
4780001,0,0.831199
4785001,5,1.73029
4790001,2,1.24257
4795001,0,0.0134241
4800001,2,1.45252
4805001,2,0.40397
4810001,2,1.0612
4815001,0,0.12407
4820001,0,0.00445599
4825001,4,1.4011
4830001,4,0.516505
4835001,1,1.14157
4840001,0,0.856923
4845001,0,0.842159
4850001,2,0.10761
4855001,0,0.371366
4860001,2,0.337984
4865001,3,0.57788
4870001,1,2.2869
4875001,1,2.93435
4880001,1,1.20209
4885001,0,1.23555
4890001,1,1.37658
4895001,1,2.57919
4900001,0,0.442047
4905001,0,0.107122
4910001,0,0.197834
4915001,3,2.43628
4920001,0,0.106608
4925001,0,0.0472827
4930001,0,1.08971
4935001,1,1.9847
4940001,1,1.31704
4945001,0,0.272943
4950001,0,0.620919
4955001,0,0.0600617
4960001,1,0.69801
4965001,2,0.288157
4970001,0,0.454912
4975001,1,3.09058
4980001,2,0.154053
4985001,0,0.255385
4990001,1,0.256827
4995001,0,0.202205
5000001,0,0.112913
5005001,2,0.187226
5010001,1,1.30897
5015001,0,1.29087
5020001,3,0.208969
5025001,2,1.0853
5030001,0,0.17286
5035001,1,1.19187
5040001,0,0.187247
5045001,0,0.562089
5050001,0,0.397472
5055001,1,1.27477
5060001,1,0.274755
5065001,0,0.309246
5070001,1,1.24663
5075001,3,2.4987
5080001,0,0.65208
5085001,1,0.250452
