generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2205001,5,75.0967,-26018.3,2.67384,0.252
2210001,3,45.8713,-26023.9,1.3718,0.2772
2215001,4,60.4355,-26017.4,0.207956,0.2862
2220001,4,60.4557,-26017.9,1.7704,0.3132
2225001,4,61.9068,-26021.8,0.612521,0.3124
2230001,3,46.4525,-26021.9,0.465496,0.2746
2235001,3,46.7776,-26021.1,0.352413,0.2764
2240001,3,46.1128,-26019.2,0.216969,0.2912
2245001,3,45.8992,-26010.3,0.80483,0.2584
2250001,2,28.2535,-26018.3,1.93968,0.238
2255001,2,28.0417,-26016.4,2.73765,0.2022
2260001,2,30.1885,-26022.3,2.02565,0.2526
2265001,3,46.0271,-26014.4,0.951837,0.1908
2270001,3,45.4926,-26017,0.258266,0.2106
2275001,2,28.1771,-26018.6,1.83721,0.1886
2280001,2,27.9614,-26018.5,2.30631,0.1806
2285001,3,43.6373,-26016.1,0.77729,0.2106
2290001,2,30.8789,-26015.4,0.300699,0.1906
2295001,2,29.7439,-26015.3,0.119111,0.2058
2300001,2,30.3206,-26014.5,0.53736,0.2048
2305001,2,29.7998,-26014.6,0.845762,0.2378
2310001,3,42.8922,-26015.1,1.15498,0.1892
2315001,2,29.7485,-26019.7,0.536316,0.219
2320001,3,43.1442,-26015.3,1.99333,0.2558
2325001,2,30.7425,-26023.3,1.48901,0.2006
2330001,2,29.6801,-26015.4,0.410831,0.2374
2335001,2,29.476,-26016.4,0.319626,0.2398
2340001,2,28.5817,-26019.5,2.57773,0.2196
2345001,2,30.1007,-26021.1,0.526109,0.2166
2350001,2,30.9919,-26017.5,0.0921507,0.2248
2355001,3,46.2739,-26015.4,0.236748,0.2356
2360001,2,30.6019,-26015.7,0.142308,0.2028
2365001,2,30.9628,-26017.7,0.51675,0.2286
2370001,2,30.7016,-26016.9,0.385304,0.2118
2375001,2,29.0318,-26016.8,1.26716,0.1936
2380001,2,30.3635,-26015.9,0.910558,0.2154
2385001,2,31.9096,-26023.9,0.164931,0.1968
2390001,2,30.0388,-26017.1,1.35377,0.2242
2395001,2,31.4632,-26017.4,0.00189005,0.2332
2400001,2,28.1783,-26014.4,1.91394,0.225
2405001,2,29.1816,-26014.1,0.66576,0.2224
2410001,2,30.2766,-26017.2,0.0967137,0.212
2415001,2,29.8346,-26014.6,0.306567,0.215
2420001,2,29.6263,-26016.7,1.32102,0.2082
2425001,4,62.9766,-26016.4,0.726393,0.2372
2430001,2,30.1766,-26016.9,0.869775,0.2446
2435001,2,27.4453,-26014.9,1.98133,0.2012
2440001,3,45.6856,-26015.7,0.254203,0.2082
2445001,3,42.7477,-26017.9,0.343738,0.2974
2450001,2,31.0591,-26017.5,0.0574882,0.2008
2455001,2,30.9673,-26019.2,0.527529,0.1982
2460001,2,30.4824,-26015.2,0.883522,0.2062
