"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
15581,1,1,3.01316832669276,15316,48729,15316,3.63636363636364,22000,1e-06,48729
15591,2,1,7.37754804168479,15325,31598,15325,7.27272727272727,22000,1.9e-06,31598
15655,6,1,21.7440068613936,15364,30633,15364,21.8181818181818,22000,5.5e-06,30633
15712,1,1,3.51158677068675,15407,63317,15407,3.63636363636364,22000,1e-06,63317
15737,1,1,4.3718130009721,15423,31416,15423,3.63636363636364,22000,1e-06,31416
15752,1,1,3.34799966621676,15431,80473,15431,3.63636363636364,22000,1e-06,80473
15782,3,1,10.697091657887,15454,38366,15454,10.9090909090909,22000,2.8e-06,38366
15782,4,0,10.697091657887,20951,20955,15454,14.5454545454545,22000,3.7e-06,38366
15782,2,0,10.697091657887,33375,33377,15454,7.27272727272727,22000,1.9e-06,38366
15790,2,1,7.29406312032262,15457,32255,15457,7.27272727272727,22000,1.9e-06,32255
15814,2,1,6.89084427375173,15473,45337,15473,7.27272727272727,22000,1.9e-06,45337
15835,1,1,4.49192728867774,15491,35386,15491,3.63636363636364,22000,1e-06,35386
15838,2,0,3.78004060971065,18576,18594,15494,7.27272727272727,22000,1.9e-06,41969
15838,1,1,3.78004060971065,15494,41969,15494,3.63636363636364,22000,1e-06,41969
15882,1,1,2.83592249901564,15524,31269,15524,3.63636363636364,22000,1e-06,31269
15897,1,1,2.44903201185024,15538,32864,15538,3.63636363636364,22000,1e-06,32864
15939,1,1,2.93682964426029,15575,40148,15575,3.63636363636364,22000,1e-06,40148
15957,1,1,2.94188867570565,15593,32731,15593,3.63636363636364,22000,1e-06,32731
15972,2,1,7.98352225638175,15603,33276,15603,7.27272727272727,22000,1.9e-06,33276
16046,2,1,6.92897605120823,15653,36765,15653,7.27272727272727,22000,1.9e-06,36765
16088,1,1,3.47248775645732,15692,100001,15692,3.63636363636364,22000,1e-06,100001
16117,3,1,10.8777037852863,15715,34492,15715,10.9090909090909,22000,2.8e-06,34492
